well_id,well_name,latitude,longitude,well_type,well_status,well_result,field_name,field_code,field_operator,field_result,block_name,block_area_sqkm
K08-03,K08-03,53.50182566,3.42932073,Hydrocarbon exploration,Abandoned,Gas,K08-FA,K08-FA,Tenaz Energy Netherlands B.V.,Gas,K08,409.224287729
KOL-01,KOL-01,53.27060844,6.20374428,Hydrocarbon evaluation,Suspended,Gas,Kollumerland,KOL,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-01,KPD-01,53.20742748,6.76239914,Hydrocarbon evaluation,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-OBS,KPD-OBS,53.20760661,6.76285869,Observation,Abandoned,Dry,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-02,KPD-02,53.20680709,6.76133551,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-03,KPD-03,53.20681611,6.76028815,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-04,KPD-04,53.20682513,6.75924079,Hydrocarbon development,Plugged back and sidetracked,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-05,KPD-05,53.20683414,6.75819358,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-06,KPD-06,53.20684314,6.75714622,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-07,KPD-07,53.20747232,6.75716002,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-08,KPD-08,53.20746341,6.75820784,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-09,KPD-09,53.20745439,6.75925567,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-10-S1,KPD-10-S1,53.20744546,6.76030349,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KPD-11,KPD-11,53.20743643,6.76135132,Hydrocarbon development,Closed-in,Gas,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KRD-01,KRD-01,52.47530956,5.55656631,Hydrocarbon exploration,Abandoned,Dry,,,,,,
KRL-01,KRL-01,52.81064709,4.86585177,Hydrocarbon exploration,Abandoned,Gas shows,,,,,,
KTG-01,KTG-01,51.57249396,3.83631465,Hydrocarbon exploration,Abandoned,Dry,,,,,,
LAD-01,LAD-01,52.6914178,4.82072002,Hydrocarbon exploration,Abandoned,Dry,,,,,,
LED-01,LED-01,52.06630181,4.40709632,Hydrocarbon exploration,Abandoned,Dry,,,,,,
LED-02,LED-02,52.06838992,4.39807896,Hydrocarbon exploration,Abandoned,Gas,Leidschendam,LED,Nederlandse Aardolie Maatschappij B.V.,Gas,,
LED-03,LED-03,52.09530171,4.4191854,Hydrocarbon exploration,Abandoned,Dry,,,,,,
LEK-01,LEK-01,51.9070124,4.66063116,Hydrocarbon exploration,Abandoned,Oil,Lekkerkerk/blg,LEK, ,Olie,,
LEL-01,LEL-01,52.52962395,5.47436036,Hydrocarbon exploration,Abandoned,Dry,,,,,,
LEW-01,LEW-01,53.15378455,5.98475314,Hydrocarbon evaluation,Closed-in,Gas,,,,,,
LEW-02,LEW-02,53.15689669,6.03796265,Hydrocarbon evaluation,Abandoned,Dry,,,,,,
LEW-03,LEW-03,53.11760727,5.85145961,Hydrocarbon evaluation,Producing/Injecting,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
