well_id,well_name,latitude,longitude,coordinate_system,well_type,status,result,trajectory,operator,drilling_contractor,platform,start_date,end_date,end_depth_m,end_depth_unit,vertical_depth_m,true_vertical_depth_m,deviation_m,max_deviation_m,field_name,field_code,field_operator,field_result,field_status,block_name,block_area_sqkm,in_field,in_block,field_count,block_count
L16-10,L16-10,53.02477401,4.18423762,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil,Deviated,Continental Netherlands Oil Company B.V.,Zapata International,Zapata Scotian,1989-04-22,1989-06-26,3879,Rotary Table,3425.57,3385.47,753.14,1203.85,,,,,,L16,414.053084625,No,Yes,0,1
P04-01,P04-01,52.77546701,3.26847794,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Mobil Producing Netherlands Inc.,Dyvi Drilling A/S,Dyvi Beta,1977-08-16,1977-09-28,2746.6,Kelly Bushing,2727.34,2694.34,132.93,145.85,,,,,,P04,170.272562981,No,Yes,0,1
P05-01,P05-01,52.76485718,3.41453744,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Petroland B.V.,Zapata International,Endeavour,1968-07-04,1968-09-26,3255,Rotary Table,3251.63,3215.73,,,,,,,,P05,417.17070305,No,Yes,0,1
P05-02,P05-02,52.82258153,3.44125857,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil shows,Deviated,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 80,1980-06-28,1980-09-09,3603,Kelly Bushing,3594.38,3561.97,-0.77,49.33,,,,,,P05,417.17070305,No,Yes,0,1
P05-03,P05-03,52.79522073,3.54795651,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil shows,Vertical,Mobil Producing Netherlands Inc.,Keydril Company,Galveston Key,1982-01-22,1982-03-02,1698,Kelly Bushing,1697.58,1664.88,-4.63,20.05,,,,,,P05,417.17070305,No,Yes,0,1
P05-04,P05-04,52.7784147,3.55823497,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil shows,Vertical,Mobil Producing Netherlands Inc.,Zapata International,Zapata Nordic,1983-08-08,1983-09-03,1418,Kelly Bushing,1417.97,1382.17,-0.06,8.23,,,,,,P05,417.17070305,No,Yes,0,1
P06-01,P06-01,52.72697168,3.83454891,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Transocean Drilling Ltd.,Transocean I,1968-07-12,1968-12-03,3680,Rotary Table,3677.66,3651.96,-32.26,-43.73,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-02,P06-02,52.73616779,3.96394074,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Deviated,Mobil Producing Netherlands Inc.,Transocean Drilling Ltd.,Transocean I,1969-03-13,1969-06-03,3145,Kelly Bushing,3140.07,3114.07,,140.51,,,,,,P06,417.192386699,No,Yes,0,1
P06-B-02,P06-B-02,52.73738838,3.80371454,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Zapata International,Zapata Scotian,1975-11-11,1976-03-16,3575,Rotary Table,3572.65,3541.45,8.51,-58.19,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-04,P06-04,52.75713817,3.72698976,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Technical failure,Vertical,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 64,1978-05-30,1978-06-14,551,Rotary Table,551,522.6,,,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-04A,P06-04A,52.75633254,3.72621206,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 64,1978-06-15,1978-11-17,3714,Rotary Table,3711.33,3679.23,-18.65,-3.7,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-C-02,P06-C-02,52.71881025,3.8284684,ED50-GEOGR,Hydrocarbon development,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Transocean Drilling Ltd.,Transocean VI,1986-12-01,1987-01-30,3313.2,Rotary Table,3310.31,3273.61,-72.24,-44.18,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
E04-01,E04-01,54.68545885,3.21955132,ED50-NEDTM,Hydrocarbon exploration,Abandoned,Dry,Vertical,Petroland B.V.,Hupco Drilling,Andros,1986-12-01,1986-12-28,1633,Kelly Bushing,1632.47,1596.37,25.69,-17.48,,,,,,E04,397.939738299,No,Yes,0,1
K03-01,K03-01,53.96373273,3.69028497,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Reading & Bates UK,Ron Tappmeyer,1986-12-05,1987-04-20,4440,Rotary Table,4437.22,4402.86,46.92,73.39,K02b-A,K02-FA,Eni Energy Netherlands B.V.,Gas,In production,K03,406.040254525,Yes,Yes,1,1
Q10-03,Q10-03,52.45407257,4.20492156,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Rowan Drilling & Aviation (Netherlands) B.V.,Rowan California,1986-12-12,1987-02-09,3040.4,Kelly Bushing,3039.15,3000.65,-31.89,22.8,Q10-Beta,Q10-B,Kistos NL2 B.V.,Gas,Production planned < 5 years,Q10,420.377447068,Yes,Yes,1,1
L14-A-02,L14-A-02,53.30708052,4.45054689,ED50-GEOGR,Hydrocarbon development,Abandoned,Dry,Deviated,"Placid International Oil, Ltd.",Penrod International Drilling Company, ,1986-12-26,1987-03-17,4054,Rotary Table,3495.62,3462.02,1682.19,-747.77,L14-FA,L14-S,Transcanada International Ltd.,Gas,Abandoned,L14,412.504796691,Yes,Yes,1,1
L08-G-03,L08-G-03,53.58123291,4.60399791,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Gas,Deviated,Pennzoil Nederland Company,Global Marine,Glomar Adriatic 3,1987-01-10,1987-05-18,4730,Kelly Bushing,4389.19,4354.29,-681.52,529.05,L08-G,L08-G,Wintershall Noordzee B.V.,Gas,Abandoned,L08,409.311271825,Yes,Yes,1,1
L08-G-03-S2,L08-G-03-S2,53.58123291,4.60399791,ED50-GEOGR,Hydrocarbon development,Abandoned,Gas,Deviated,Wintershall Noordzee B.V.,Zapata International,Zapata Scotian,1993-03-16,1993-04-03,4616,Kelly Bushing,4297.66,4257.56,-675.01,599.27,L08-G,L08-G,Wintershall Noordzee B.V.,Gas,Abandoned,L08,409.311271825,Yes,Yes,1,1
L08-G-03-S1,L08-G-03-S1,53.58123291,4.60399791,ED50-GEOGR,Hydrocarbon development,Abandoned,Technical failure,Deviated,Wintershall Noordzee B.V.,Zapata International,Zapata Scotian,1992-11-27,1993-03-16,4650,Kelly Bushing,4328.16,4288.06,-676.4,584.32,L08-G,L08-G,Wintershall Noordzee B.V.,Gas,Abandoned,L08,409.311271825,Yes,Yes,1,1
K16-05,K16-05,53.12393795,3.14211154,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Technical failure,Vertical,Elf Petroland B.V.,Hubco Drilling Inc. Ltd.,Andros,1987-01-11,1987-03-06,2138,Kelly Bushing,2137.38,2101.28,18.26,36.61,K16-5,K16-5, ,Gas,Production planned > 5 years,K16,266.57116582,Yes,Yes,1,1
K16-05-S1,K16-05-S1,53.12393795,3.14211154,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Deviated,Elf Petroland B.V.,Hubco Drilling Inc. Ltd.,Andros,1987-03-06,1987-04-22,2635,Rotary Table,2631.72,2595.62,67.87,57.68,K16-5,K16-5, ,Gas,Production planned > 5 years,K16,266.57116582,Yes,Yes,1,1
Q07-05,Q07-05,52.60461171,4.29992513,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,"Unocal Netherlands, Inc.",Neddrill Nederland B.V.,Neddrill III,1987-01-13,1987-02-11,2030,Rotary Table,2025.41,1984.51,-30.62,-76.44,,,,,,Q07,418.801547119,No,Yes,0,1
G13-01,G13-01,54.23034219,5.24884433,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,NAM,Neddrill Nederland BV (SINDS MEI97 NOBLE DRILLING), ,1986-10-11,1987-01-24,4758,Rotary Table,4699.51,4659.81,368.38,121.69,,,,,,G13,402.98792369,No,Yes,0,1
F18-09-S2,F18-09-S2,54.1019713,4.75561336,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,NAM,Neddrill Nederland BV (SINDS MEI97 NOBLE DRILLING),Neddrill-4,1987-04-12,1987-05-29,4615,Rotary Table,4610.24,4571.24,-64.74,-69.21,F18-FA (Fregat),F18-FA, ,Olie,Production planned > 5 years,F18,404.543651538,Yes,Yes,1,1
P12-C-02,P12-C-02,52.40892568,3.85976717,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Deviated,Mobil Producing Netherlands Inc.,Transocean Drilling Company Ltd,Transocean VI,1987-03-02,1987-06-17,3477.2,Kelly Bushing,3448.52,3410.32,83.04,-1.06,P12-C,P12-C,Wintershall Noordzee B.V.,Gas,Abandoned,P12,420.345233607,Yes,Yes,1,1
P12-C-02-S1,P12-C-02-S1,52.40892568,3.85976717,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Dry,Deviated,Clyde Petroleum Exploratie B.V.,Noble Drilling (Nederland) B.V.,Lynda Bossler,1999-08-21,1999-09-16,3222,Rotary Table,3033.9,2988.2,-358.41,-455.27,P12-C,P12-C,Wintershall Noordzee B.V.,Gas,Abandoned,P12,420.345233607,Yes,Yes,1,1
F12-04,F12-04,54.44453457,4.70398483,ED50-NEDTM,Hydrocarbon exploration,Abandoned,Technical failure,Deviated,Total,Ensco Offshore U.K. Limited,Ensco-72,2005-12-10,2005-12-21,1865,Rotary Table,1816.27,1777.77,-271.68,1.93,,,,,,F12,401.315557749,No,Yes,0,1
OSH-03-S3,OSH-03-S3,52.7427969,6.71264187,RD,Hydrocarbon development,Closed-in,Gas,Horizontal,Nederlandse Aardolie Maatschappij B.V.,B.J. Services Company (NL),BJ CT Unit,2005-11-03,2005-11-16,4474,Rotary Table,3242.38,3217.78,-468.31,1941.31,Oosterhesselen,OSH,Nederlandse Aardolie Maatschappij B.V.,Gas,Temporarily abandoned,,,Yes,No,1,0
Q02-06-S1,Q02-06-S1,52.87077337,4.48703583,ED50-UTM31,Hydrocarbon development,Abandoned,Technical failure,Horizontal,Wintershall Noordzee B.V.,Noble Drilling (Nederland) B.V.,Noble Lynda Bossler,2005-11-07,2005-11-25,4101,Kelly Bushing,2926.61,2887.51,-126.67,1732.1,Q02-A,Q02-A, ,Gas,Production planned > 5 years,Q02,335.864634927,Yes,Yes,1,1
L10-35,L10-35,53.35628066,4.04313976,ED50-UTM31,Hydrocarbon exploration,Abandoned,Dry,Deviated,Gaz de France,Noble Drilling (Nederland) B.V.,George Sauvageau,2006-01-25,2006-03-18,4005,Rotary Table,,3757.74,,,,,,,,L10,410.868387744,No,Yes,0,1
OPK-04,OPK-04,53.11184292,6.99610363,RD,Hydrocarbon exploration,Plugged back and sidetracked,Technical failure,Deviated,Nederlandse Aardolie Maatschappij B.V.,Drilltec Netherlands B.V.,Synergy,2005-12-20,2006-01-03,1280,Rotary Table,1100.41,1091.16,-493.14,-263.58,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
BRW-01-S1,BRW-01-S1,53.29032536,7.01683083,RD,Hydrocarbon development by injection,Abandoned,Technical failure,Deviated,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,1971-10-29,1971-10-31,2166,Rotary Table,2047.47,2040.92,413,-386.05,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
K01-05,K01-05,53.89276059,3.30772384,ED50-UTM31,Hydrocarbon exploration,Abandoned,Dry,Vertical,Wintershall,Noble Drilling (Nederland) B.V.,Noble Lynda Bossler,2006-01-22,2006-03-08,3842,Kelly Bushing,3839.88,3800.08,-57.79,29.75,,,,,,K01,406.011298534,No,Yes,0,1
P06-A-05,P06-A-05,52.75527733,3.75615723,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Technical failure,Vertical,Mobil Producing Netherlands Inc,Penrod International Drilling Company,Penrod 80,1979-05-22,1979-08-29,3043,Kelly Bushing,3040.89,3007.89,58.36,28.77,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P06-06,P06-06,52.79611148,3.71362717,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Vertical,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 80,1980-02-13,1980-06-25,3400,Kelly Bushing,3398.31,3365.31,21.7,72.83,P06-Northwest,P06 NW,Wintershall Noordzee B.V.,Gas,Production planned > 5 years,P06,417.192386699,Yes,Yes,1,1
P06-A-04,P06-A-04,52.75527733,3.75615723,ED50-GEOGR,Hydrocarbon development,Abandoned,Gas,Deviated,Mobil Producing Netherlands Inc.,Dixilyn-Field Drilling Co,Dixilyn Field 87,1983-02-09,1984-03-16,3391.6,Kelly Bushing,2949.43,2913.13,-558.17,-1396.11,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
P07-01,P07-01,52.5447366,3.1932608,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Vertical,Union Oil Company of the Netherlands B.V.,Transocean Drilling Ltd.,Transocean I,1969-09-09,1969-10-02,2287,Kelly Bushing,2287,2260.99,,,,,,,,P07,221.48788294,No,Yes,0,1
P08-01,P08-01,52.5355999,3.41904438,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Vertical,Netherlands Kewanee Incorporated,Penrod International Drilling Company,Penrod 65,1976-06-12,1976-07-10,2199,Rotary Table,2198.19,2166.99,,48.76,,,,,,P08,418.75028193,No,Yes,0,1
P08-02,P08-02,52.58282617,3.6526598,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil,Vertical,Mobil Producing Netherlands Inc.,Dixilyn-Field Drilling Company Inc.,Dixilyn Field 87,1982-10-07,1982-12-25,2222,Rotary Table,2221.91,2188.61,6.29,2.49,P08-A Horizon-West,P08-A, ,Olie,Production planned > 5 years,P08,418.75028193,Yes,Yes,1,1
P08-03-S2,P08-03-S2,52.58282617,3.6526598,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Oil,Deviated,Mobil Producing Netherlands Inc.,Zapata International Corporation,Zapata Nordic,1983-06-15,1983-08-14,2962.2,Rotary Table,2090.89,2054.49,-1262.65,1393.18,P08-A Horizon-West,P08-A, ,Olie,Production planned > 5 years,P08,418.75028193,Yes,Yes,1,1
P09-01A,P09-01A,52.53793686,3.74649672,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil,Deviated,Amoco Netherlands Petroleum Company,Zapata North Sea Inc.,Endeavour,1969-07-01,1970-01-05,4727,Rotary Table,4717.07,4686.99,,268.02,Horizon,HORIZON,Petrogas E&P Netherlands B.V.,Olie,Abandoned,P09,418.770966412,Yes,Yes,1,1
P09-02,P09-02,52.56129841,3.71927317,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Oil,Vertical,Amoco Netherlands Petroleum Company,Zapata International,Zapata Nordic,1982-10-03,1982-12-17,2212,Kelly Bushing,2210.92,2173.56,,54.9,Horizon,HORIZON,Petrogas E&P Netherlands B.V.,Olie,Abandoned,P09,418.770966412,Yes,Yes,1,1
P09-03,P09-03,52.53449257,3.76619181,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Oil,Vertical,Union Oil Company of the Netherlands,Neddrill Nederland B.V.,Neddrill III,1983-04-19,1983-07-24,2210,Rotary Table,,2169.6,,,Horizon,HORIZON,Petrogas E&P Netherlands B.V.,Olie,Abandoned,P09,418.770966412,Yes,Yes,1,1
P10-01,P10-01,52.46262239,3.14748432,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Pennzoil Nederland Company,Penrod International Drilling Company,Penrod 58,1969-09-15,1969-10-21,2696,Kelly Bushing,2692.68,2660.88,,93.45,,,,,,P10,354.435217404,No,Yes,0,1
P12-01,P12-01,52.38779459,3.87600429,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas and oil shows,Deviated,Phillips Petroleum Company Netherlands,International Drilling Company,North Star,1968-08-15,1968-11-02,3581,Kelly Bushing,3571.7,3545,64.48,179.79,P12-C,P12-C,Wintershall Noordzee B.V.,Gas,Abandoned,P12,420.345233607,Yes,Yes,1,1
P12-03,P12-03,52.41618374,3.8163909,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil and gas,Deviated,Pennzoil Nederland Company,Global Marine Drilling Services,Glomar Adriatic III,1982-09-20,1983-01-03,2818,Kelly Bushing,2668.33,2633.23,312.79,301.36,P12-West (P12-3),P12-3,Wintershall Noordzee B.V.,Olie en Gas,Production planned > 5 years,P12,420.345233607,Yes,Yes,1,1
P12-04,P12-04,52.41623934,3.8163631,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Dry,Deviated,Pennzoil Nederland Company,Global Marine,Glomar Adriatic III,1983-01-06,1983-02-04,3011,Kelly Bushing,2640.71,2605.51,-507.19,1202.75,P12-West (P12-3),P12-3,Wintershall Noordzee B.V.,Olie en Gas,Production planned > 5 years,P12,420.345233607,Yes,Yes,1,1
P12-04-S1,P12-04-S1,52.41623934,3.8163631,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Oil shows,Deviated,Pennzoil Nederland Company,Global Marine,Glomar Adriatic III,1983-02-04,1983-03-22,3145,Kelly Bushing,2716.67,2681.47,-1079.05,853.61,P12-West (P12-3),P12-3,Wintershall Noordzee B.V.,Olie en Gas,Production planned > 5 years,P12,420.345233607,Yes,Yes,1,1
P12-A-01,P12-A-01,52.37598976,3.97284041,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Pennzoil Nederland Company,Transworld Drilling Company,Transocean II,1978-04-19,1978-06-03,3278,Kelly Bushing,3258.6,3233.5,-20.02,106.43,,,,,,P12,420.345233607,No,Yes,0,1
P13-01,P13-01,52.21519838,3.19549275,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Vertical,British Petroleum Exploratie Maatschappij Nederland B.V. / Aminoil (Netherlands) Petroleum Company,Keydrill Technology LLC,Key Gibraltar,1978-08-19,1978-09-18,2334,Rotary Table,2333.37,2302.17,-0.11,40.79,,,,,,P13,421.884138407,No,Yes,0,1
P13-02,P13-02,52.26678235,3.10862804,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Vertical,British Petroleum Exploratie Maatschappij Nederland B.V.,Zapata International,Zapata Nordic,1982-12-28,1983-01-12,1492,Rotary Table,1491.93,1453.33,-0.37,13.57,,,,,,P13,421.884138407,No,Yes,0,1
P15-01,P15-01,52.25942922,3.85778536,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil and gas,Deviated,Amoco Netherlands Petroleum Inc.,Zapata North Sea Inc.,Zapata Explorer,1974-06-02,1974-08-12,3258,Kelly Bushing,3245.78,3211.38,-191.67,-77.35,P15 Rijn,Rijn,TAQA Offshore B.V.,Olie,In production,P15,421.916427151,Yes,Yes,1,1
P15-02,P15-02,52.29012554,3.93592528,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Amoco Netherlands Petroleum Company,Dyvi A/S,Dyvi Gamma,1977-12-03,1978-02-25,3313,Kelly Bushing,3301.89,3268.57,-107.7,-150.05,,,,,,P15,421.916427151,No,Yes,0,1
P15-RIJN-A-01,P15-RIJN-A-01,52.29026314,3.81628345,ED50-GEOGR,Hydrocarbon exploration,Closed-in,Oil,Vertical,Amoco Netherlands Petroleum Company,Zapata North Sea Inc.,Zapata Nordic,1982-01-30,1982-04-04,2555,Kelly Bushing,2554.83,2515.87,17.43,-10.43,P15 Rijn,Rijn,TAQA Offshore B.V.,Olie,In production,P15,421.916427151,Yes,Yes,1,1
P15-RIJN-B-01,P15-RIJN-B-01,52.30709655,3.77725421,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Oil and gas,Vertical,Amoco Netherlands Petroleum Company,Dixilyn Field Service Company Inc.,Dixilyn-Field 87,1982-07-25,1982-10-01,2065,Kelly Bushing,2064.67,2028.87,19.99,-14.81,P15 Rijn,Rijn,TAQA Offshore B.V.,Olie,In production,P15,421.916427151,Yes,Yes,1,1
P15-RIJN-B-01-S1,P15-RIJN-B-01-S1,52.30709655,3.77725421,ED50-GEOGR,Hydrocarbon development,Abandoned,Oil,Deviated,Amoco Netherlands Petroleum Company,Reading & Bates UK,Ron Tappmeyer,1989-01-01,1989-01-15,2260,Rotary Table,2098.09,2060.29,-297.92,-340.69,P15 Rijn,Rijn,TAQA Offshore B.V.,Olie,In production,P15,421.916427151,Yes,Yes,1,1
P15-05,P15-05,52.31676275,3.70286321,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Vertical,Amoco Netherlands Petroleum Company,Noordzee Drill B.V.,Gilbert Rowe,1983-05-01,1983-06-10,2176,Kelly Bushing,2175.78,2144.29,18.69,9.09,,,,,,P15,421.916427151,No,Yes,0,1
Q02-01,Q02-01,52.85616085,4.49728376,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Deviated,Amoco Netherlands Petroleum Company,Neddrill Nederland B.V.,Neddrill III,1987-06-29,1987-07-31,2817,Kelly Bushing,2813.65,2771.85,71.42,29.02,,,,,,Q02,335.864634927,No,Yes,0,1
P03-04-S3,P03-04-S3,52.96859486,3.71543874,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Deviated,Nederlandse Aardolie Maatschappij B.V.,Reading & Bates UK,Ron Tappmeyer,1987-11-16,1988-01-02,3840,Rotary Table,3831.25,3797.09,110.22,136.21,,,,,,P03,415.608887593,No,Yes,0,1
J06-01-S1,J06-01-S1,53.80359965,2.94357853,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Vertical,Ultramar Exploration (Netherlands) B.V.,Neddrill Nederland B.V.,Neddrill Trigon,1987-07-31,1987-09-11,3808,Kelly Bushing,3806.7,3774.6,-31.27,-6.77,Markham,MHM,Spirit Energy Nederland B.V.,Gas,Depleted,J06,83.2834334023,Yes,Yes,1,1
P15-E-01-S1,P15-E-01-S1,52.17179605,3.86781032,ED50-GEOGR,Hydrocarbon exploration,Producing/Injecting,Oil and gas,Deviated,Amoco, , ,1987-09-03,1987-10-21,3450,Kelly Bushing,3439.88,3405.69,12.4,-117.31,P15/P18 Waal; P15-09,Waal; P15-9,TAQA Offshore B.V.; TAQA Offshore B.V.,Olie; Gas,Production planned < 5 years; Depleted,P15,421.916427151,Yes,Yes,2,1
L13-FE-101-S1,L13-FE-101-S1,53.3131619,4.24673597,ED50-GEOGR,Hydrocarbon exploration,Closed-in,Gas,Deviated,Nederlandse Aardolie Maatschappij B.V.,Rowan Drilling & Aviation (Netherlands) B.V.,Gilbert Rowe,1987-08-13,1987-12-06,4643,Rotary Table,3626.46,3592.06,2561.94,-418.46,L13-FE,L13-FE,Tenaz Energy Netherlands B.V.,Gas,In production,L13,412.461310122,Yes,Yes,1,1
F05-03,F05-03,54.76799196,4.58477346,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Dry,Vertical,Mobil,Transocean Drilling Ltd., ,1987-08-12,1987-09-16,2905,Rotary Table,2905,2866.8,,,,,,,,F05,398.029977467,No,Yes,0,1
P02-08,P02-08,52.90911179,3.41129712,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Gas,Vertical,British Petroleum Exploratie Maatschappij Nederland B.V.,Transocean Drilling Ltd.,Transocean VII,1987-08-21,1987-11-24,3513,Rotary Table,3512.36,3478.46,-1.62,58.03,P02-E,P02-E, ,Gas,Production planned > 5 years,P02,415.586841923,Yes,Yes,1,1
F14-06,F14-06,54.19733871,4.52836555,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Oil,Vertical,Statoil Netherlands B.V.,Neddrill Nederland B.V.,Neddrill 3,1987-08-07,1987-09-03,1985,Rotary Table,1984.91,1945.41,12.2,4.11,,,,,,F14,402.885385029,No,Yes,0,1
F14-06-S1,F14-06-S1,54.19733871,4.52836555,ED50-GEOGR,Hydrocarbon evaluation,Abandoned,Dry,Deviated,Statoil Netherlands B.V.,Neddrill Nederland B.V.,Neddrill 3,1987-09-03,1987-10-02,2500,Rotary Table,2059.42,2019.92,-793.94,-197.31,,,,,,F14,402.885385029,No,Yes,0,1
A18-02,A18-02,55.11540361,3.81061649,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Technical failure,Vertical,Nederlandse Aardolie Maatschappij B.V.,Neddrill Nederland B.V.,Neddrill 4,1987-08-25,1987-09-14,1803,Rotary Table,1802.92,1763.22,1.08,14.61,A18-FA,A18-FA,Petrogas E&P Netherlands B.V.,Gas,In production,A18,394.713271659,Yes,Yes,1,1
A18-02-S1,A18-02-S1,55.11540361,3.81061649,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Technical failure,Vertical,Nederlandse Aardolie Maatschappij B.V.,Neddrill Nederland B.V.,Neddrill 4,1987-09-15,1987-10-23,2163,Rotary Table,2162.21,2122.51,31.96,15.74,A18-FA,A18-FA,Petrogas E&P Netherlands B.V.,Gas,In production,A18,394.713271659,Yes,Yes,1,1
A18-02-S2,A18-02-S2,55.11540361,3.81061649,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Deviated,Nederlandse Aardolie Maatschappij B.V.,Neddrill Nederland B.V.,Neddrill 4,1987-10-24,1987-11-08,706,Rotary Table,685.46,645.76,-20.87,-99.6,A18-FA,A18-FA,Petrogas E&P Netherlands B.V.,Gas,In production,A18,394.713271659,Yes,Yes,1,1
L10-S-01,L10-S-01,53.45063645,4.0500602,ED50-GEOGR,Hydrocarbon exploration,Abandoned,Gas,Deviated,"Placid International Oil, Ltd.",Penrod International Drilling Company,Penrod 64,1987-08-16,1987-10-29,3832.5,Rotary Table,3807.55,3773.92,41.47,16.38,L10-S1,L10-S1,Placid International Oil Ltd.,Gas,Abandoned,L10,410.868387744,Yes,Yes,1,1
P06-B-03,P06-B-03,52.73738838,3.80371454,ED50-GEOGR,Hydrocarbon development,Abandoned,Gas with oil shows,Deviated,Mobil Producing Netherlands Inc.,Penrod International Drilling Company,Penrod 81,1987-09-01,1987-11-03,3697,Kelly Bushing,2840.24,2798.99,959.43,-1888.28,P06-Main,P06-Main,Wintershall Noordzee B.V.,Gas,Abandoned,P06,417.192386699,Yes,Yes,1,1
K18-KOTTER-10,K18-KOTTER-10,53.08148455,3.96443042,ED50-GEOGR,Hydrocarbon development,Abandoned,Oil,Deviated,Continental Netherlands Oil Company B.V.,Transocean Drilling Ltd.,Transocean VI,1987-10-03,1987-10-19,1889.8,Rotary Table,1871.4,1834.5,37.29,-184.74,Kotter,Kotter,Wintershall Noordzee B.V.,Olie,Abandoned,K18,414.01740202,Yes,Yes,1,1
K18-KOTTER-10-S1,K18-KOTTER-10-S1,53.08148455,3.96443042,ED50-GEOGR,Hydrocarbon development,Abandoned,Oil,Deviated,Wintershall Noordzee B.V.,Noble Drilling (Nederland) B.V.,Noble Al White,2005-06-03,2005-06-21,2071,Kelly Bushing,2049.56,2009.39,57.4,-210.32,Kotter,Kotter,Wintershall Noordzee B.V.,Olie,Abandoned,K18,414.01740202,Yes,Yes,1,1
