well_id,well_name,latitude,longitude,coordinate_system,well_type,status,result,trajectory,operator,drilling_contractor,platform,start_date,end_date,end_depth_m,end_depth_unit,vertical_depth_m,true_vertical_depth_m,deviation_m,max_deviation_m,field_name,field_code,field_operator,field_result,field_status,block_name,block_area_sqkm,in_field,in_block,field_count,block_count
MKP-04,MKP-04,52.00850235,4.61690771,RD,Hydrocarbon exploration,Abandoned,Oil,Deviated,NAM, , ,1958-02-14,1958-03-30,1725.5,Rotary Table,1718.5,1720.02,37.07,100.77,Moerkapelle,MKP,Nederlandse Aardolie Maatschappij B.V.,Olie,Abandoned,,,Yes,No,1,0
MKP-05,MKP-05,51.98534118,4.64380059,RD,Hydrocarbon development,Abandoned,Oil,Deviated,NAM, , ,1958-09-01,1958-10-17,1536.5,Rotary Table,1533.48,1535.3,16.56,61.39,Moerkapelle,MKP,Nederlandse Aardolie Maatschappij B.V.,Olie,Abandoned,,,Yes,No,1,0
MKP-06,MKP-06,51.98536841,4.64384381,RD,Hydrocarbon development,Abandoned,Dry,Deviated,NAM, , ,1959-02-07,1959-02-28,1223,Rotary Table,1161.38,1164.58,107.47,304.15,Moerkapelle,MKP,Nederlandse Aardolie Maatschappij B.V.,Olie,Abandoned,,,Yes,No,1,0
MKP-06-S1,MKP-06-S1,51.98536841,4.64384381,RD,Hydrocarbon exploration,Abandoned,Oil,Deviated,NAM, , ,1959-03-01,1959-04-05,1500,Rotary Table,1393.44,1396.64,-362.84,312.03,Moerkapelle,MKP,Nederlandse Aardolie Maatschappij B.V.,Olie,Abandoned,,,Yes,No,1,0
MKP-08,MKP-08,52.04396989,4.56879163,RD,Hydrocarbon development,Abandoned,Oil,Deviated,NAM, , ,1967-09-19,1967-09-30,960,Rotary Table,877.26,876.99,-114.46,286.49,Moerkapelle,MKP,Nederlandse Aardolie Maatschappij B.V.,Olie,Abandoned,,,Yes,No,1,0
MKP-10,MKP-10,52.0519836,4.55666076,RD,Hydrocarbon evaluation,Abandoned,Oil,Deviated,Nederlandse Aardolie Maatschappij B.V.,KCA Deutag Drilling Ltd,T-4,1977-09-08,1977-10-22,1260,Rotary Table,1120.86,1120.33,497.62,-21.52,Moerkapelle,MKP,Nederlandse Aardolie Maatschappij B.V.,Olie,Abandoned,,,Yes,No,1,0
MKP-11,MKP-11,52.05202636,4.5566954,RD,Hydrocarbon development,Abandoned,Oil,Deviated,Nederlandse Aardolie Maatschappij B.V.,KCA Deutag Drilling Ltd,T-4,1977-10-22,1977-11-13,1165,Rotary Table,989.87,989.29,-340.64,395.59,Moerkapelle,MKP,Nederlandse Aardolie Maatschappij B.V.,Olie,Abandoned,,,Yes,No,1,0
SPI-109,SPI-109,53.17234319,6.8393846,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,1972-08-05,1972-08-29,2816,Rotary Table,2814.52,2806.81,-41.43,-36.34,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-110,SPI-110,53.17297054,6.83939428,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,1972-08-30,1972-09-30,2815,Rotary Table,2813.89,2806.18,-22.46,-45.97,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-201,SPI-201,53.17228689,6.84565888,RD,Hydrocarbon development,Closed-in,Gas,Deviated,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1968-01-09,1968-02-09,2815,Rotary Table,2809.11,2801.42,-82.49,-61.3,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-202,SPI-202,53.17229682,6.84461284,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1968-02-10,1968-02-27,2813,Rotary Table,2811.3,2803.59,-31.06,-40.3,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-203,SPI-203,53.17292518,6.84462846,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1968-02-27,1968-03-18,2814,Rotary Table,2811.57,2803.9,-2.49,-72.35,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-204,SPI-204,53.17291544,6.84567363,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1968-03-19,1968-04-04,2791,Rotary Table,2789.21,2781.52,-23.77,-56.33,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-205,SPI-205,53.17290573,6.84672224,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1968-04-05,1968-04-20,2775,Rotary Table,2773.11,2765.41,-17.81,-58.58,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-206,SPI-206,53.17227819,6.84670587,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1968-04-21,1968-05-05,2777,Rotary Table,2775.66,2767.87,-16.53,-47.56,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-207,SPI-207,53.17289677,6.84776788,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1970-07-28,1970-08-14,2779.5,Rotary Table,2776.91,2769.24,-5.71,-80.08,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-208,SPI-208,53.17226923,6.84775134,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 100,1971-09-24,1971-10-13,2785,Rotary Table,2783.11,2772.77,-32.57,-73.82,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPI-209,SPI-209,53.17226019,6.84879562,RD,Hydrocarbon development,Closed-in,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,1972-10-26,1972-11-20,2778,Rotary Table,2776.89,2769.22,-31.8,-50.48,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
SPK-01,SPK-01,51.83807392,4.32395641,RD,Hydrocarbon exploration,Abandoned,Dry,Vertical,NAM, , ,1960-01-28,1960-06-10,3276,Rotary Table,3275.21,3272.23,-33.95,35.62,,,,,,,,No,No,0,0
SPL-01,SPL-01,52.27263731,4.71871328,RD,Hydrocarbon exploration,Suspended,Gas shows,Vertical,Amoco Netherlands Petroleum Company,KCA Deutag Drilling Ltd,Emsco 800,1970-01-26,1970-03-18,2232,Rotary Table,2230.53,2229.69,-2.32,70.48,,,,,,,,No,No,0,0
SPL-01-S1,SPL-01-S1,52.27263731,4.71871328,RD,Hydrocarbon exploration,Suspended,Gas shows,Deviated,Amoco Netherlands Petroleum Company,Forex,National 55,1970-05-18,1970-08-25,2889,Rotary Table,2212.51,2211.17,1619.73,-85.79,,,,,,,,No,No,0,0
SPW-01,SPW-01,52.40353749,4.71341395,RD,Hydrocarbon exploration,Abandoned,Dry,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Conrad Counterflush,1948-12-15,1949-01-31,923,Rotary Table,923,922.11,,,,,,,,,,No,No,0,0
SRM-01,SRM-01,52.59557494,4.78710714,RD,Hydrocarbon exploration,Plugged back and sidetracked,Gas,Vertical,Amoco Netherlands Petroleum Company,Forex, ,1964-07-29,1964-10-23,2139.5,Kelly Bushing,2138.89,2136.75,29.81,-11.5,Schermer,SRM,TAQA Offshore B.V.,Gas,Depleted,,,Yes,No,1,0
SRM-01-S1,SRM-01-S1,52.59557494,4.78710714,RD,Hydrocarbon exploration,Producing/Injecting,Gas,Vertical,Amoco Netherlands Petroleum Company,Forex-Neptune, ,1976-06-01,1976-06-30,2505,Kelly Bushing,2503.75,2501.51,48.76,-21.89,Schermer,SRM,TAQA Offshore B.V.,Gas,Depleted,,,Yes,No,1,0
SRM-02,SRM-02,52.58470063,4.80893051,RD,Hydrocarbon evaluation,Abandoned,Dry,Vertical,Amoco Netherlands Petroleum Company,FOREX, ,1965-03-27,1965-05-20,2703,Rotary Table,2703,2700.96,,,,,,,,,,No,No,0,0
SRM-03-S1,SRM-03-S1,52.60774917,4.7688715,RD,Hydrocarbon evaluation,Abandoned,Gas,Deviated,Amoco Netherlands Petroleum Company, , ,1965-07-09,1965-08-28,2681,Rotary Table,2672.18,2670.99,-194.3,5.15,,,,,,,,No,No,0,0
STA-01-S1,STA-01-S1,52.61208828,6.21905038,RD,Hydrocarbon exploration,Abandoned,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 50,1950-03-03,1950-04-24,1495,Rotary Table,1494.77,1489.75,-0.72,21.73,,,,,,,,No,No,0,0
STA-02,STA-02,52.59643589,6.20685862,RD,Hydrocarbon development,Abandoned,Dry,Vertical,NAM, , ,1950-06-24,1950-08-20,1635,Rotary Table,1634.71,1630.04,-0.87,26.21,,,,,,,,No,No,0,0
STA-03,STA-03,52.65240141,6.26691984,RD,Hydrocarbon exploration,Abandoned,Dry,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ideal 50,1950-11-30,1951-02-02,1485,Rotary Table,1484.87,1478.68,-0.61,18.3,,,,,,,,No,No,0,0
STB-01,STB-01,51.56388169,4.34474541,RD,Hydrocarbon exploration,Abandoned,Dry,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V., ,1949-06-02,1949-07-27,1314,Rotary Table,1313.91,1311.09,-0.43,13.28,,,,,,,,No,No,0,0
STK-01,STK-01,53.01302299,6.96448788,RD,Hydrocarbon exploration,Abandoned,Dry,Deviated,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,N1320,1981-03-08,1981-04-23,2795,Rotary Table,2741.36,2727.04,252.87,-194.69,Stadskanaal,STK,Nederlandse Aardolie Maatschappij B.V.,Olie en Gas,Production planned > 5 years,,,Yes,No,1,0
STK-01-S3,STK-01-S3,53.01302299,6.96448788,RD,Hydrocarbon exploration,Abandoned,Oil and gas,Deviated,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,N1320,1981-06-25,1981-10-26,3879,Rotary Table,3662.58,3648.26,-534.17,510.26,Stadskanaal,STK,Nederlandse Aardolie Maatschappij B.V.,Olie en Gas,Production planned > 5 years,,,Yes,No,1,0
STM-01-S1,STM-01-S1,52.54611025,4.78040882,RD,Hydrocarbon exploration,Abandoned,Gas,Deviated,Amoco Netherlands Petroleum Company,Deutag,T-14,1974-11-06,1975-01-03,2884,Kelly Bushing,2266.16,2262.89,786.42,-1334.66,,,,,,,,No,No,0,0
TW-I,TW-I,52.20309623,6.85675898,RD,Geological exploration,Abandoned,Dry,Vertical,Rijksopsporing van Delfstoffen,"Vulkaan, Leeuwarden", ,1911-05-29,1911-12-31,70.95,Rotary Table,70.95,38.25,,,,,,,,,,No,No,0,0
TW-II,TW-II,52.19030332,6.83725001,RD,Geological exploration,Abandoned,Dry,Vertical,ROD,"Vulkaan, Leeuwarden", ,1911-07-07,1911-12-31,76.44,Rotary Table,76.44,46.44,,,,,,,,,,No,No,0,0
