Title:,Basin Performance & Upside Potential Ranking S&P 2024
Data Source:,S&P 2024

Basin Name,Country,Region,PETRONAS Presence,Discovered Recoverable Resources (MMboe),Yet to Find (MMboe),Tier
Penyu-West Natuna,Malaysia/Vietnam/Indonesia,APAC,No,1515,330,4
Perdido ,USA-Mexico,AME,No,4814,0,4
Perth,Australia,APAC,No,1022,345,4
Phu Khanh,Vietnam~China,APAC,No,13,55,4
Potiguar,Brazil,AME,No,2020,648,4
Precaspian,Kazakhstan,MECA,No,72377,5227,1
Punta del Este/Rio Selado,Uruguay /Argentina,AME,No,0,0,4
Rakhine,Myanmar,APAC,No,256,266,4
Rawson,Argentina,AME,No,0,0,4
Red Sea,Egypt,AFR,No,1165,56,4
Reed Bank,Philippines~China~Vietnam~Spratly Islands Disputed Area,APAC,No,349,0,4
Rharb-Prerif,Morocco,AFR,No,145,602,4
Rio-Muni,Equatorial Guinea,AFR,No,894,643,4
Rovuma,Mozambique/Tanzania,AFR,No,25243,1105,3
Rub' Al Khali,UAE-Saudi Arabia-Yemen-Qatar,MECA,No,210439,14718,1
Salawati (W Papua),Indonesia,APAC,No,738,107,4
Salt Pond,Ghana,AFR,No,10,0,4
San Jorge,Argentina,AME,No,8871,0,3
Santos,Brazil,AME,No,45444,10198,1
Santos - Campos Pre Salt,Brazil,AME,No,49526,0,3
Santos Post Salt,Brazil,AME,No,2860,0,4
Santos Pre Salt,Brazil,AME,No,42585,0,3
S Caspian,Azerbaijan-Turkmenistan-Georgia-Iran,MECA,No,47969,4387,3
Sergipe Alagoas,Brazil,AME,No,2805,718,4
Sierra Leone - Liberia,Sierra Leone - Liberia,AFR,No,544,335,4
Sirte,Libya,AFR,No,47278,2992,3
S Makassar,Indonesia,APAC,No,9,24,4
Song Hong,Vietnam~China~Taiwan,APAC,No,4017,736,4
South Gabon,Gabon,AFR,No,3903,822,4
Spermonde-Salayar ,Indonesia,APAC,No,0,0,4
S Sumatra,Indonesia,APAC,No,8568,1829,3
Sulu Sea,Philippines,APAC,No,224,100,4
Sureste (Salinas),Mexico,AME,No,63008,14890,1
SW Palawan,Philippines~China,APAC,No,4,0,4
Talara,Peru,AME,No,3256,1121,4
Tampico Misantla,Mexico,AME,No,10847,69,3
Tano-Ivorian,Cote d'Ivoire & Ghana,AFR,No,6982,4559,3
Tanzania,Tanzania,AFR,No,4714,423,4
Timor,Indonesia/Timor Leste,APAC,No,64,0,4
Tobago Trough,Trinidad & Tabago,AME,No,1947,58,4
Tsushima (Ulleung),Japan / South Korea,APAC,No,96,64,4
Valdes,Argentina,AME,No,0,0,4
Vung May,Vietnam,APAC,No,212,115,4
Walvis,Namibia ,AFR,No,6,0,4
West Java,Indonesia,APAC,No,6838,800,3
West Luconia,China~Malaysia~Indonesia~Malaysia/Vietnam JDZ,APAC,No,563,508,4
West Siberian,Russia-Kazakhstan,MECA,No,499685,31300,1
W. Shetland/Faroe,UK,MECA,No,1724,1357,4
Zagros,Iraq/Iran,MECA,No,315361,37703,1
Zambezi Delta,Mozambique,AFR,No,0,0,4
