Title:,Resource Density Listing - S&P 2024
Data Source:,S&P 2024

Basin Name,Country,Region,Basin Size (sq km),Discovered Recoverable (MMboe),Calculated Resource Density (MMBOE/1000sq km),Petronas Presence
Mannar,Sri Lanka,APAC,87220,146,2,NO
Ceara,Brazil,AME,274164,511,2,NO
Chad,Chad,AFRICA,1037945,1833,2,NO
Interior Sub-basin,Gabon,AFRICA,14677,8,1,NO
Timor,Indonesia,APAC,50796,64,1,NO
Malvinas,Argentina,AME,108999,112,1,NO
Foz do Amazonas,Brazil,AME,157334,166,1,NO
Para-Maranhao,Brazil,AME,145185,78,1,NO
Tsushima (Ulleung),Japan,APAC,112840,153,1,NO
Salt Pond (GHANA),Ghana,AFRICA,12247,10,1,NO
Essaouira,Morocco,AFRICA,26141,25,1,NO
Buton,Indonesia,APAC,19097,5,0,NO
SW Palawan,Philippines,APAC,34136,4,0,NO
Phu Khanh,Vietnam,APAC,66729,26,0,NO
Mogadishu,Somalia,AFRICA,102721,40,0,NO
Maritimes,Canada,AME,148218,44,0,NO
Walvis,Namibia,AFRICA,155221,6,0,NO
Lamu,Kenya,AFRICA,400743,113,0,NO
Amapa Platform,French Guiana,AME,113339,4,0,NO
Barreirinhas,Brazil,AME,71093,4,0,NO
Meulaboh,Indonesia,APAC,48359,20,0,NO
Limon,Costa Rica,AME,25291,0,0,NO
Andaman Sea,India,APAC,264126,31,0,NO
